Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attendance,Age,NRtg,TS%,Attend.,Attend./G,G
1,San Antonio Spurs,2003,16,14.0,16.0,27.0,4.0,11.0,11.0,11.0,19.0,27.0,1.0,10.0,6.0,26.0,21.0,6.0,11.0,22.0,17.0,1.0,23.0,5.0,1.0,14.0,9.0,20.0,3.0,3.0,4.0,7.0,15.0,25.0,3.0,2.0,2.0,24.0,21.0,3.0,7.0,3.0,19.0,18.0,12.0,5.0,3.0,1.0,28.0,3.0,3.0,3.0,12.0,3.0,7.0,3.0,20.0,2.0,7.0,4.0,24.0,13.0,6.0,2.0,12.0,17.0,3.0,,11.0,,,,,,
2,New Jersey Nets,2003,14,26.0,17.0,18.0,14.0,23.0,22.0,22.0,12.0,12.0,16.0,5.0,5.0,15.0,14.0,12.0,10.0,7.0,5.0,21.0,16.0,14.0,14.0,26.0,5.0,8.0,2.0,12.0,11.0,20.0,4.0,9.0,2.0,9.0,11.0,6.0,7.0,14.0,9.0,5.0,22.0,19.0,3.0,8.0,2.0,8.0,22.0,4.0,4.0,4.0,29.0,4.0,18.0,1.0,11.0,7.0,22.0,21.0,16.0,14.0,7.0,4.0,3.0,6.0,14.0,,23.0,,,,,,
3,Dallas Mavericks,2003,10,24.0,3.0,2.0,7.0,2.0,2.0,3.0,15.0,19.0,7.0,15.0,26.0,1.0,24.0,9.0,17.0,9.0,11.0,13.0,1.0,9.0,1.0,24.0,15.0,18.0,12.0,28.0,29.0,10.0,9.0,10.0,15.0,12.0,17.0,1.0,23.0,28.0,28.0,17.0,3.0,3.0,5.0,19.0,16.0,1.0,28.0,1.0,1.0,1.0,14.0,1.0,1.0,9.0,7.0,28.0,2.0,3.0,1.0,27.0,20.0,15.0,9.0,19.0,10.0,,3.0,,,,,,
4,Detroit Pistons,2003,8,5.0,26.0,28.0,24.0,6.0,6.0,8.0,28.0,28.0,24.0,13.0,12.0,9.0,26.0,18.0,25.0,23.0,28.0,8.0,5.0,10.0,26.0,5.0,3.0,3.0,13.0,1.0,1.0,13.0,11.0,15.0,6.0,8.0,8.0,5.0,1.0,19.0,8.0,2.0,4.0,5.0,24.0,6.0,1.0,5.0,23.0,5.0,5.0,5.0,28.0,5.0,15.0,4.0,29.0,9.0,3.0,14.0,9.0,24.0,9.0,5.0,15.0,1.0,15.0,,1.0,,,,,,
5,Sacramento Kings,2003,7,14.0,1.0,1.0,3.0,7.0,9.0,4.0,2.0,7.0,3.0,24.0,24.0,18.0,25.0,1.0,3.0,3.0,2.0,12.0,12.0,4.0,3.0,14.0,19.0,28.0,1.0,6.0,9.0,1.0,25.0,28.0,1.0,10.0,13.0,2.0,28.0,27.0,29.0,13.0,21.0,6.0,10.0,28.0,17.0,3.0,27.0,2.0,2.0,2.0,13.0,2.0,6.0,2.0,1.0,26.0,12.0,2.0,6.0,26.0,29.0,1.0,18.0,21.0,5.0,,12.0,,,,,,
6,Los Angeles Lakers,2003,6,1.0,4.0,4.0,9.0,8.0,7.0,10.0,9.0,13.0,8.0,12.0,8.0,25.0,5.0,7.0,4.0,5.0,15.0,7.0,12.0,25.0,4.0,1.0,4.0,4.0,9.0,8.0,7.0,10.0,9.0,13.0,8.0,12.0,8.0,25.0,5.0,7.0,4.0,5.0,15.0,7.0,12.0,25.0,4.0,5.0,23.0,10.0,10.0,9.0,9.0,9.0,4.0,19.0,8.0,12.0,8.0,8.0,7.0,9.0,13.0,17.0,21.0,8.0,20.0,,9.0,,,,,,
7,Philadelphia 76ers,2003,6,10.0,11.0,15.0,10.0,27.0,28.0,28.0,3.0,2.0,10.0,3.0,4.0,8.0,7.0,20.0,16.0,15.0,1.0,28.0,16.0,19.0,9.0,10.0,11.0,5.0,23.0,22.0,21.0,18.0,7.0,5.0,24.0,18.0,18.0,17.0,4.0,7.0,5.0,18.0,12.0,28.0,1.0,7.0,15.0,9.0,20.0,9.0,9.0,10.0,25.0,12.0,11.0,12.0,13.0,5.0,27.0,23.0,14.0,7.0,4.0,26.0,2.0,9.0,22.0,,4.0,,,,,,
8,Boston Celtics,2003,4,14.0,26.0,21.0,27.0,1.0,1.0,21.0,29.0,29.0,23.0,17.0,16.0,22.0,28.0,14.0,26.0,27.0,4.0,25.0,7.0,11.0,22.0,14.0,6.0,7.0,7.0,24.0,28.0,4.0,5.0,2.0,16.0,19.0,19.0,6.0,10.0,29.0,26.0,19.0,8.0,8.0,6.0,12.0,12.0,13.0,16.0,18.0,18.0,18.0,21.0,19.0,24.0,8.0,17.0,14.0,1.0,19.0,11.0,29.0,14.0,13.0,5.0,10.0,21.0,,13.0,,,,,,
9,Orlando Magic,2003,3,20.0,13.0,7.0,22.0,5.0,3.0,9.0,25.0,24.0,19.0,8.0,9.0,6.0,18.0,22.0,23.0,21.0,8.0,26.0,10.0,26.0,6.0,20.0,22.0,14.0,25.0,8.0,15.0,5.0,23.0,13.0,29.0,25.0,25.0,22.0,14.0,24.0,22.0,21.0,14.0,15.0,4.0,10.0,24.0,16.0,13.0,16.0,16.0,16.0,24.0,17.0,10.0,20.0,5.0,13.0,5.0,11.0,8.0,22.0,12.0,25.0,6.0,18.0,23.0,,26.0,,,,,,
10,Portland Trail Blazers,2003,3,10.0,10.0,22.0,5.0,19.0,16.0,24.0,8.0,18.0,2.0,20.0,17.0,20.0,13.0,25.0,22.0,8.0,3.0,24.0,19.0,2.0,15.0,10.0,16.0,12.0,21.0,18.0,23.0,11.0,13.0,7.0,24.0,1.0,1.0,19.0,6.0,2.0,2.0,23.0,20.0,10.0,9.0,26.0,11.0,5.0,23.0,7.0,7.0,7.0,11.0,6.0,8.0,13.0,22.0,15.0,17.0,5.0,21.0,8.0,15.0,21.0,7.0,12.0,1.0,,6.0,,,,,,
