,
Tm,W
,
Golden State Warriors,16
Miami Heat,11
Boston Celtics,14
Memphis Grizzlies,6
Milwaukee Bucks,7
Dallas Mavericks,9
Philadelphia 76ers,6
Phoenix Suns,7
New Orleans Pelicans,2
Brooklyn Nets,0
Minnesota Timberwolves,2
Utah Jazz,2
Denver Nuggets,1
Toronto Raptors,2
Atlanta Hawks,1
Chicago Bulls,1
